类型,案例类型,案例编号,状态,主题,指派给,案例设计,交易名称,系统模块,描述,案例执行,测试数据,测试步骤,预期结果,验证日期,测试轮次,专项测试,产品种类,开始日期,计划完成日期,% 完成
测试案例,正例,案例编号193,新建,工作台,,刘梦月,现场服务,内屏功能,创建营销活动界面内容检查,,理财经理登录,"1、营销管理-营销活动-创建营销活动
2、检查界面展示内容",展示内容与需求一致,,UAT-2,无,无,,,
测试案例,正例,案例编号194,新建,工作台,,刘梦月,现场服务,内屏功能,保存活动成功,,理财经理登录,"1.点击“新增营销活动”按钮，进入新增活动页面，输入输入“活动名称”、“报名方式”、“预约时间”、“活动时间”、“活动说明”、“目标客群”、“活动资料”、“活动范围”。
2.点击“保存”保存活动信息。",保存成功,,UAT-2,无,无,,,
测试案例,正例,案例编号195,新建,工作台,,刘梦月,现场服务,内屏功能,取消功能测试,,理财经理登录,"1.点击“新增营销活动”按钮，进入新增活动页面，输入输入“活动名称”、“报名方式”、“预约时间”、“活动时间”、“活动说明”、“目标客群”、“活动资料”、“活动范围”。
3.点击“取消”，返回界面，取消成功",取消成功,,UAT-2,无,无,,,
测试案例,正例,案例编号196,新建,工作台,,刘梦月,现场服务,内屏功能,活动名称,,理财经理登录,"1.输入“活动名称”、活动名称超过50字 。
3.点击“保存”保存活动信息。",保存未成功，提示活动名称超过50字,,UAT-2,无,无,,,
测试案例,正例,案例编号197,新建,工作台,,刘梦月,现场服务,内屏功能,编辑营销活动界面内容检查,,理财经理登录,"1、营销管理-营销活动-编辑
2、检查界面展示内容",展示内容与需求一致,,UAT-2,无,无,,,
测试案例,正例,案例编号198,新建,工作台,,刘梦月,现场服务,内屏功能,修改功能测试,,理财经理登录,"1.点击“编辑”按钮。      2.修改“客户证件”。
2.点击“保存”保存活动信息。",保存成功,,UAT-2,无,无,,,
测试案例,正例,案例编号199,新建,工作台,,刘梦月,现场服务,内屏功能,修改功能测试,,理财经理登录,"1.点击“编辑”按钮。      2.修改“客户编号”。
2.点击“保存”保存活动信息。",保存成功,,UAT-2,无,无,,,
测试案例,正例,案例编号200,新建,工作台,,刘梦月,现场服务,内屏功能,修改功能测试,,理财经理登录,"1.点击“编辑”按钮。      2.修改“客户名称”。
2.点击“保存”保存活动信息。",保存成功,,UAT-2,无,无,,,
测试案例,正例,案例编号201,新建,工作台,,刘梦月,现场服务,内屏功能,修改功能测试,,理财经理登录,"1.点击“编辑”按钮。      2.修改“话术模板”。
2.点击“保存”保存活动信息。",保存成功,,UAT-2,无,无,,,
测试案例,正例,案例编号202,新建,工作台,,刘梦月,现场服务,内屏功能,修改功能测试,,理财经理登录,"1.修改“活动说明”。
6.点击“保存”保存活动信息。",保存成功,,UAT-2,无,无,,,
测试案例,正例,案例编号203,新建,工作台,,刘梦月,现场服务,内屏功能,取消功能测试,,理财经理登录,"1.修改“活动说明”。
6.点击“取消”",取消成功,,UAT-2,无,无,,,
测试案例,正例,案例编号204,新建,工作台,,刘梦月,现场服务,内屏功能,查看营销活动界面内容检查,,理财经理登录,"1、营销管理-营销活动-查看
2、检查界面展示内容",展示内容与需求一致,,UAT-2,无,无,,,
测试案例,正例,案例编号205,新建,工作台,,刘梦月,现场服务,内屏功能,查看功能测试,,理财经理登录,1点击“查看”按钮2.查看活动信息,查看成功,,UAT-2,无,无,,,
测试案例,正例,案例编号206,新建,工作台,,刘梦月,现场服务,内屏功能,发布营销活动界面内容检查,,理财经理登录,"1、营销管理-营销活动-发布
2、检查界面展示内容",展示内容与需求一致,,UAT-2,无,无,,,
测试案例,正例,案例编号207,新建,工作台,,刘梦月,现场服务,内屏功能,发布功能测试,,理财经理登录,1点击“发布”按钮2.发布活动信息,发布成功,,UAT-2,无,无,,,
测试案例,正例,案例编号208,新建,工作台,,刘梦月,现场服务,内屏功能,删除营销活动界面内容检查,,理财经理登录,"1、营销管理-营销活动-删除
2、检查界面展示内容",展示内容与需求一致,,UAT-2,无,无,,,
测试案例,正例,案例编号209,新建,工作台,,刘梦月,现场服务,内屏功能,删除功能测试,,理财经理登录,1点击“删除”按钮2.删除活动信息,删除成功,,UAT-2,无,无,,,
测试案例,正例,案例编号210,新建,工作台,,刘梦月,现场服务,内屏功能,终止营销活动界面内容检查,,理财经理登录,"1、营销管理-营销活动-终止
2、检查界面展示内容",展示内容与需求一致,,UAT-2,无,无,,,
测试案例,正例,案例编号211,新建,工作台,,刘梦月,现场服务,内屏功能,终止功能测试,,理财经理登录,1点击“终止”按钮3.终止活动信息,终止成功,,UAT-2,无,无,,,
测试案例,正例,案例编号212,新建,工作台,,刘梦月,现场服务,内屏功能,同屏功能测试,,理财经理登录,1.内外屏联调成功           2.点击“同屏”按钮        3.展示营销助手页面；       ,展示成功,,UAT-2,无,无,,,
测试案例,正例,案例编号213,新建,工作台,,刘梦月,现场服务,内屏功能,推送功能测试,,理财经理登录,1.内外屏联调成功           2.点击“推送”按钮        3.选中理财产品               4.推送到外屏,推送成功,,UAT-2,无,无,,,
测试案例,正例,案例编号214,新建,工作台,,刘梦月,现场服务,内屏功能,画笔功能测试,,理财经理登录,1.内外屏联调成功           2.点击“画笔”按钮，页面可弹出画笔颜色、画笔宽度选中框，可在同屏页面选择一项理财产品画圈。                      3.点击“确认”按钮，显示在外屏,画圈成功,,UAT-2,无,无,,,
测试案例,正例,案例编号215,新建,工作台,,刘梦月,现场服务,内屏功能,查看历史功能测试,,理财经理登录,1.在理财终端浏览产品 2 点击“查看历史”3.显示客户此次服务的产品浏览记录，查看客户的产品偏好,显示成功,,UAT-2,无,无,,,
测试案例,正例,案例编号216,新建,工作台,,刘梦月,现场服务,内屏功能,产科产品名称功能测试,,理财经理登录,1.在理财终端浏览产品。                 2.点击“产品名称”超链接    3.进入产品详情页面，查看该产品的详情信息,显示成功,,UAT-2,无,无,,,
测试案例,正例,案例编号217,新建,工作台,,刘梦月,现场服务,内屏功能,营销话术是否能够正常查看,,理财经理登录,1.在理财终端浏览产品。                 2.查看外屏客户浏览记录，查看该产品营销话术,营销话术查看成功,,UAT-2,无,无,,,
测试案例,正例,案例编号218,新建,工作台,,刘梦月,现场服务,内屏功能,内屏理财信息是否推送成功,,理财经理登录,1.刷卡登录外屏理财客户端。2.查看内屏推送理财信息,推送信息查看成功,,UAT-2,无,无,,,
测试案例,正例,案例编号219,新建,工作台,,刘梦月,现场服务,内屏功能,画笔信息画面能否正常查看,,理财经理登录,1.刷卡登录外屏理财客户端。2.查看内屏推送用“画笔”画圈的理财产品信息画面。,画笔信息画面查看成功,,UAT-2,无,无,,,
测试案例,正例,案例编号220,新建,工作台,,刘梦月,现场服务,内屏功能,能否正常浏览理财等信息,,理财经理登录,1.刷卡登录外屏理财客户端。2.浏览查看内屏多种理财产品。,查看成功,,UAT-2,无,无,,,
测试案例,正例,案例编号221,新建,财富E站通-游客模式-自营理财产品详情,,刘梦月,游客模式,理财外屏,游客模式自营理财测试,,内屏登录,"1、点击使用游客模式登录
2、进入自营理财界面
",显示所有自营理财产品,,UAT-2,无,无,,,
测试案例,正例,案例编号222,新建,财富E站通-游客模式-自营理财产品购买,,刘梦月,游客模式,理财外屏,游客模式自营理财测试,,内屏登录,"选择一种理财产品点击详情
",显示自营理财产品详情包括起售金额、风险等级、额度、递增金额等,,UAT-2,无,无,,,
测试案例,反例,案例编号223,新建,财富E站通-游客模式-代销理财产品展示,,刘梦月,游客模式,理财外屏,游客模式代销理财测试,,内屏登录,"1、点击使用游客模式登录
2、进入代销理财界面",显示所有代理理财产品,,UAT-2,无,无,,,
测试案例,正例,案例编号224,新建,财富E站通-游客模式-代销理财产品详情,,刘梦月,游客模式,理财外屏,游客模式代销理财测试,,内屏登录,"1、点击使用游客模式登录
2、进入代销理财界面
3、点击购买",代销理财产品详情显示,,UAT-2,无,无,,,
测试案例,正例,案例编号225,新建,财富E站通-游客模式-代销理财产品购买,,刘梦月,游客模式,理财外屏,游客模式代销理财测试,,内屏登录,"1、点击使用游客模式登录
2、进入代销理财界面
3、点击购买",无法购买代销理财,,UAT-2,无,无,,,
测试案例,反例,案例编号226,新建,财富E站通-游客模式-存款产品展示,,刘梦月,游客模式,理财外屏,游客模式存款测试,,内屏登录,"1、点击使用游客模式登录
2、进入存款界面",代销理财产品正常显示,,UAT-2,无,无,,,
测试案例,正例,案例编号227,新建,财富E站通-游客模式-存款产品详情,,刘梦月,游客模式,理财外屏,游客模式存款测试,,内屏登录,"1、点击使用游客模式登录
2、进入存款界面
3、点击开户",代销理财产品详情显示,,UAT-2,无,无,,,
测试案例,反例,案例编号228,新建,财富E站通-游客模式-存款产品购买,,刘梦月,游客模式,理财外屏,游客模式存款测试,,内屏登录,"1、点击使用游客模式登录
2、进入存款界面
3、点击开户",无法存款开户,,UAT-2,无,无,,,
测试案例,反例,案例编号229,新建,财富E站通-游客模式-贵金属产品展示,,刘梦月,游客模式,理财外屏,游客模式贵金属测试,,内屏登录,"1、点击使用游客模式登录
2、进入贵金属界面",贵金属产品正常显示,,UAT-2,无,无,,,
测试案例,正例,案例编号230,新建,财富E站通-游客模式-贵金属产品详情,,刘梦月,游客模式,理财外屏,游客模式贵金属测试,,内屏登录,"1、点击使用游客模式登录
2、进入贵金属界面
3、点击购买",贵金属产品详情显示,,UAT-2,无,无,,,
测试案例,反例,案例编号231,新建,财富E站通-游客模式-贵金属产品购买,,刘梦月,游客模式,理财外屏,游客模式贵金属测试,,内屏登录,"1、点击使用游客模式登录
2、进入贵金属界面
3、点击购买",无法购买贵金属,,UAT-2,无,无,,,
测试案例,正例,案例编号232,新建,财富E站通-游客模式-转账界面展示,,刘梦月,游客模式,理财外屏,游客模式转账测试,,内屏登录,"1、点击使用游客模式登录
2、进入转账界面",转账界面展示,,UAT-2,无,无,,,
测试案例,正例,案例编号233,新建,财富E站通-游客模式-转账功能测试,,刘梦月,游客模式,理财外屏,游客模式转账测试,,内屏登录,"1、点击使用游客模式登录
2、进入转账界面
3、输入信息转账",无法转账,,UAT-2,无,无,,,
测试案例,反例,案例编号234,新建,财富E站通-游客模式-保险产品展示,,刘梦月,游客模式,理财外屏,游客模式保险测试,,内屏登录,"1、点击使用游客模式登录
2、进入保险界面",保险产品正常显示,,UAT-2,无,无,,,
测试案例,正例,案例编号235,新建,财富E站通-游客模式-保险产品详情,,刘梦月,游客模式,理财外屏,游客模式保险测试,,内屏登录,"1、点击使用游客模式登录
2、进入保险界面
3、点击购买",保险产品详情显示,,UAT-2,无,无,,,
测试案例,正例,案例编号236,新建,财富E站通-游客模式-保险产品购买,,刘梦月,游客模式,理财外屏,游客模式保险测试,,内屏登录,"1、点击使用游客模式登录
2、进入保险界面
3、点击购买",无法购买保险,,UAT-2,无,无,,,
测试案例,正例,案例编号237,新建,用户登录,,刘梦月,外屏理财机登录,理财外屏,外屏服务启动，理财机点击开始使用,,用户身份证,1.点击开始使用,1.页面跳转到身份证读取信息页面,,UAT-2,无,无,,,
测试案例,反例,案例编号238,新建,用户登录,,刘梦月,外屏理财机登录,理财外屏,外屏服务启动，理财机点击开始使用,,用户身份证,1.点击开始使用,1.页面弹出信息提示框，提示内容：系统未启动，请联系您的理财经理，启动服务界面！,,UAT-2,无,无,,,
测试案例,反例,案例编号239,新建,用户登录,,刘梦月,外屏理财机登录,理财外屏,身份证读取页面,,用户身份证,1.身份证读取页面,1.页面显示请将二代居民身份证放置机器感应区并显示身份证照片样式，页面下方有返回按钮。,,UAT-2,无,无,,,
测试案例,反例,案例编号240,新建,用户登录,,刘梦月,外屏理财机登录,理财外屏,身份证与银行卡信息不匹配,,,"1、点击开始使用，刷身份证
2、刷与身份证不匹配的银行","1、回显身份证信息
2、显示用户信息不一致",,UAT-2,无,无,,,
测试案例,反例,案例编号241,新建,用户登录,,刘梦月,外屏理财机登录,理财外屏,身份证信息读取页面,,用户身份证,1.客户刷身份证,"1.页面上方展示身份证读取信息，信息内容为：客户姓名，出生日期，身份证号，户籍地址，有效日期
2.页面下方展示公安系统核查结果，信息内容展示：姓名，核查机关，核查结果
3.页面下方有返回按钮，确定按钮",,UAT-2,无,无,,,
测试案例,正例,案例编号242,新建,用户登录,,刘梦月,外屏理财机登录,理财外屏,身份证真实，但已过有效期，外屏系统登录失败,,已过期身份证,1.客户刷身份证,1.身份核查失败，读取时间超过30s，无法进入身份证读取信息页面，页面返回至开始使用页面,,UAT-2,无,无,,,
测试案例,正例,案例编号243,新建,用户登录,,刘梦月,外屏理财机登录,理财外屏,读取银行卡或存折信息,,银行卡、存折,1.客户刷银行卡或存折,1.银行卡刷磁条读取信息或插卡读取芯片方式读取卡信息，卡号展示在页面上，存折通过刷磁条方式读取信息，卡号展示在页面上,,UAT-2,无,无,,,
测试案例,正例,案例编号244,新建,用户登录,,刘梦月,外屏理财机登录,理财外屏,卡信息或存折信息与身份证信息不一致,,银行卡、存折、身份证,1.客户刷银行卡或存折,1.银行卡信息无法读取，机器语音持续播报请刷卡,,UAT-2,无,无,,,
测试案例,反例,案例编号245,新建,我的,,刘梦月,客户视图,理财外屏,用户登录（银行卡）-我的视图,,身份证、银行卡,"1.点击开始使用，在外屏放置身份证
2.点击确认，刷银行卡
3.确认银行卡信息，点击确认键","1.外屏显示身份信息
2.显示银行卡号、户名
3.客户成功登陆财富E站通外屏包括我的信息、签约信息，风险评估信息、存款明细、我的资产",,UAT-2,无,无,,,
测试案例,正例,案例编号246,新建,我的,,刘梦月,客户视图,理财外屏,用户登录（存折）-我的视图,,身份证、银行卡,"1.点击开始使用，在外屏放置身份证
2.确认身份信息、点击确定、刷存折
3.确认存折信息、点击确认","1.外屏显示身份信息
2.显示存折号、户名
3.客户成功登陆财富E站通外屏包括我的信息、签约信息，风险评估信息、存款明细、我的资产",,UAT-2,无,无,,,
测试案例,反例,案例编号247,新建,我的,,刘梦月,客户视图,理财外屏,用户登录（银行卡）-我的视图,,银行卡,"1.点击开始使用，不放置身份证
2.刷银行卡

","1.请用户放置二代身份证
2.不显示用户信息",,UAT-2,无,无,,,
测试案例,反例,案例编号248,新建,我的,,刘梦月,客户视图,理财外屏,用户登录（银行卡）-我的视图,,身份证,"1.点击开始使用，在外屏放置身份证
2.点击确定，不刷银行卡","1.显示用户身份证信息
2.无法进入客户视图界面",,UAT-2,无,无,,,
测试案例,反例,案例编号249,新建,我的,,刘梦月,客户视图,理财外屏,用户登录（银行卡）-我的视图,,身份证、银行卡,"1.点击开始使用，在外屏放置身份证
2.点击确认，插入受限制的银行卡
3.确认银行卡信息，点击确认键","1.外屏显示用户身份证信息
2.显示账号
3.受限制卡无法显示用户信息",,UAT-2,无,无,,,
测试案例,反例,案例编号250,新建,我的,,刘梦月,客户视图,理财外屏,用户登录（存折）-我的视图,,存折,"1.点击开始使用，不放置身份证
2.刷存折

","1.请用户放置二代身份证
2.不显示用户信息",,UAT-2,无,无,,,
测试案例,反例,案例编号251,新建,我的,,刘梦月,客户视图,理财外屏,用户登录（存折）-我的视图,,身份证,"1.点击开始使用，在外屏放置身份证
2.点击确定，不刷存折","1.显示用户身份证信息
2.无法进入客户视图界面",,UAT-2,无,无,,,
测试案例,反例,案例编号252,新建,我的,,刘梦月,客户视图,理财外屏,用户登录（存折）-我的视图,,身份证、受限制的存折,"1.点击开始使用，在外屏放置身份证
2.点击确认，插入受限制的存折
3.确认银行卡信息，点击确认键","1.外屏显示用户身份证信息
2.显示账号
3.受限制卡无法显示用户信息",,UAT-2,无,无,,,
测试案例,正例,案例编号253,新建,我的,,刘梦月,客户视图,理财外屏,我的视图,,身份证、银行卡（卡内需有余额）、内屏登录,"
1.用户已登录
2.查询定期存款余额","1.客户成功登陆财富E站通外屏包括我的信息、签约信息，风险评估信息、存款明细、我的资产
2.查询成功",,UAT-2,无,无,,,
测试案例,正例,案例编号254,新建,我的,,刘梦月,客户视图,理财外屏,我的视图,,身份证、银行卡（卡内需有余额）、内屏登录,"1.用户已登录
2.查询活期卡存款明细","1.客户成功登陆财富E站通外屏包括我的信息、签约信息，风险评估信息、存款明细、我的资产
2.查询成功",,UAT-2,无,无,,,
测试案例,正例,案例编号255,新建,我的,,刘梦月,我的转账,理财外屏,我的转账,,身份证、银行卡（卡内需有转账明细）、内屏登录,"1.用户已登录
2.点击我的转账",1.显示我的转账明细,,UAT-2,无,无,,,
测试案例,正例,案例编号256,新建,我的,,刘梦月,我的理财,理财外屏,我的理财,,"1、内屏登录
2、身份证、银行卡（卡内需有理财购买交易明细）","1.用户已登录
2.点击我的理财",1.显示持仓产品和交易明细,,UAT-2,无,无,,,
测试案例,正例,案例编号257,新建,我的,,刘梦月,我的贵金属,理财外屏,我的贵金属,,"1、内屏登录
2、身份证、银行卡（卡内需有贵金属交易明细）","1.用户已登录
2.点击我的贵金属",1.显示交易记录,,UAT-2,无,无,,,
测试案例,正例,案例编号258,新建,我的,,刘梦月,我的保险,理财外屏,我的保险,,"1、内屏登录
2、身份证、银行卡（卡内需有贵金属交易明细）","1.用户已登录
2.点击我的保险",1.显示交易记录及试算记录,,UAT-2,无,无,,,
测试案例,正例,案例编号259,新建,我的,,刘梦月,我的,理财外屏,我的资产,,"1、内屏登录
2、身份证、银行卡",1.用户登录点击我的，查看我的资产,1、显示我的资产分布,,UAT-2,无,无,,,
测试案例,正例,案例编号260,新建,我的,,刘梦月,存款明细,理财外屏,存款明细,,,"1、用户登录
2、点击我的-查看存款明细","1、显示用户下所有账户
2、查询到明细",,UAT-2,无,无,,,
测试案例,正例,案例编号261,新建,我的,,刘梦月,存款明细,理财外屏,存款明细,,,"1、用户登录
2、点击我的-查看存款明细
3、点击查看余额",1、显示账户内余额,,UAT-2,无,无,,,
测试案例,正例,案例编号262,新建,我的,,刘梦月,银行卡签约,理财外屏,银行卡的签约,,,"1.点击开始使用，放置身份证
2.插入银行卡
3.若当前用户显示未签约，点击签约
4.输入正确的账户密码
5.打印签约成功凭证页面","1.外屏显示客户信息
2.显示银行卡信息，账户名称、账号
3.提示输入密码
4.签约成功
5.打印成功，显示签约信息",,UAT-2,无,无,,,
测试案例,反例,案例编号263,新建,我的,,刘梦月,银行卡签约,理财外屏,银行卡的签约情况,,,"1.点击开始使用，放置身份证
2.插入银行卡
3.若当前用户显示未签约，点击签约
4.不输入账户密码","1.外屏显示客户信息
2.显示银行卡信息，账户名称、账号
3.提示输入密码
4.无法签约
",,UAT-2,无,无,,,
测试案例,反例,案例编号264,新建,我的,,刘梦月,银行卡签约,理财外屏,银行卡的签约情况,,,"1.点击开始使用，放置身份证
2.插入银行卡
3.外屏显示客户信息与账户信息
4.显示已签约","1.外屏显示客户信息
2.显示银行卡信息，账户名称、账号
3.提示输入密码
4.已签约无法再次签约
",,UAT-2,无,无,,,
测试案例,反例,案例编号265,新建,我的,,刘梦月,银行卡签约,理财外屏,银行卡的签约情况,,,"1.点击开始使用，放置身份证
2.插入已过期的银行卡

","1.外屏显示客户信息
2.提示用户卡6个月无交易，请到柜面维护
",,UAT-2,无,无,,,
测试案例,反例,案例编号266,新建,我的,,刘梦月,银行卡签约,理财外屏,银行卡的签约情况,,,"1.点击开始使用，放置身份证，外屏显示客户信息
2.插入被限制的银行卡

","1.外屏显示客户信息
2.提示用户限制，请到柜面做解限
",,UAT-2,无,无,,,
测试案例,反例,案例编号267,新建,我的,,刘梦月,银行卡签约,理财外屏,银行卡的签约情况,,,"1.点击开始使用，放置身份证，外屏显示客户信息
2.插入银行卡
3.若当前用户显示未签约，点击签约
4.输入错误的账户密码","1.外屏显示客户信息与账户信息
2.密码错误，签约失败",,UAT-2,无,无,,,
测试案例,正例,案例编号268,新建,我的,,刘梦月,银行卡签约,理财外屏,银行卡理财签约-柜面查询,,,"1.存折在财富E站通理财签约成功后，到柜面系统检查是否签约成功
","1.柜面系统查询客户已签约
",,UAT-2,无,无,,,
测试案例,正例,案例编号269,新建,我的,,刘梦月,银行卡签约,理财外屏,银行卡理财签约-STM机具查询,,,1.存折在财富E站通理财签约成功后，到柜STM机检查是否签约成功,"1.STM机具查询客户存折已签约
",,UAT-2,无,无,,,
测试案例,正例,案例编号270,新建,我的,,刘梦月,银行卡柜面-理财解约,柜面解约,柜面查询签约成功后解约,,,"1.进入柜面进入中间业务，点击理财业务-管理类-理财解约
2.输入查询信息，点击提交，输入密码","1.显示理财解约界面
2.解约成功",,UAT-2,无,无,,,
测试案例,正例,案例编号271,新建,我的,,刘梦月,存折签约,理财外屏,存折-理财签约,,,"1.点击开始使用，放置身份证
2.刷存折
3.若当前用户显示未签约，点击签约
4.输入正确的账户密码
","1.外屏显示客户信息
2.显示银行卡信息，账户名称、账号
3.提示输入密码
4.签约成功
",,UAT-2,无,无,,,
测试案例,正例,案例编号272,新建,我的,,刘梦月,存折签约,理财外屏,理财签约-查询,,,"1.点击现场服务-查询-选择理财签约
2.点击打印","1.显示所有业务流水
2.打印成功",,UAT-2,无,无,,,
测试案例,反例,案例编号273,新建,我的,,刘梦月,存折签约,理财外屏,存折-理财签约,,,"1.点击开始使用，放置身份证
2.刷存折
3.外屏显示客户信息与账户信息
4.显示已签约","1.外屏显示客户信息
2.显示存折信息，账户名称、账号
3.提示输入密码
4.已签约无法再次签约
",,UAT-2,无,无,,,
测试案例,反例,案例编号274,新建,我的,,刘梦月,存折签约,理财外屏,存折-理财签约,,,"1.点击签约风评中的理财财签约
2.点击签约
3.不输入密码直接点击确定","1.跳转到理财签约界面
2.显示签约卡信息、客户名称、证件号、手机号码出生年月日
3.交易无法通过",,UAT-2,无,无,,,
测试案例,反例,案例编号275,新建,我的,,刘梦月,存折签约,理财外屏,存折-理财签约,,,"1.点击签约风评中的理财财签约
2.点击签约
3.输入错误的密码","1.跳转到理财签约界面
2.显示签约卡信息、客户名称、证件号、手机号码出生年月日
3.提示密码错误",,UAT-2,无,无,,,
测试案例,反例,案例编号276,新建,我的,,刘梦月,存折签约,理财外屏,存折-理财签约,,,"1.点击开始使用，放置身份证
2.刷已被限制的存折，点击确认

","1.外屏显示客户信息
2.提示用户卡存折已受限，请到柜面维护
",,UAT-2,无,无,,,
测试案例,正例,案例编号277,新建,存折-理财签约-柜面查询,,刘梦月,柜面查询-理财签约查询,理财外屏,存折签约后在柜面查询是否成功,,,"1.签约成功的存折到柜面查询
",柜面显示存折已签约,,UAT-2,无,无,,,
测试案例,正例,案例编号279,新建,理财解约,,刘梦月,柜面-理财解约,柜面解约,柜面查询签约成功后解约,,,"1.进入柜面进入中间业务，点击理财业务-管理类-理财解约
2.输入查询信息，点击提交，输入密码","1.显示理财解约界面
2.解约成功",,UAT-2,无,无,,,
测试案例,正例,案例编号281,新建,银行卡签约-二类卡,,刘梦月,理财签约,理财外屏,银行卡（二类卡）的签约,,,"1.点击开始使用，放置身份证点击确认
2.插入二类卡，点击确认
3.点击签约键
4.输入密码
","1.外屏显示客户信息
2.外屏反显卡号
3.签约成功",,UAT-2,限额测试,无,,,
测试案例,反例,案例编号282,新建,银行卡签约-二类卡,,刘梦月,理财签约,理财外屏,银行卡（二类卡）的签约,,,"1.点击开始使用，放置身份证
2.插入二类卡
3.外屏显示客户信息与账户信息
4.显示已签约","1.外屏显示客户信息
2.显示二类卡信息，账户名称、账号
3.提示输入密码
4.已签约无法再次签约
",,UAT-2,限额测试,无,,,
测试案例,反例,案例编号283,新建,银行卡签约-二类卡,,刘梦月,理财签约,理财外屏,银行卡（二类卡）的签约,,,"1.点击签约风评中的理财财签约
2.点击签约
3.不输入密码直接点击确定","1.跳转到理财签约界面
2.显示签约卡信息、客户名称、证件号、手机号码出生年月日
3.交易无法通过",,UAT-2,限额测试,无,,,
测试案例,反例,案例编号284,新建,银行卡签约-二类卡,,刘梦月,理财签约,理财外屏,银行卡（二类卡）的签约,,,"1.点击签约风评中的理财财签约
2.点击签约
3.输入错误的密码","1.跳转到理财签约界面
2.显示签约卡信息、客户名称、证件号、手机号码出生年月日
3.提示密码错误",,UAT-2,限额测试,无,,,
测试案例,正例,案例编号285,新建,银行卡签约-二类卡,,刘梦月,理财签约,理财外屏,签约查询,,,1.签约成功后进入柜面查询,1.签约成功,,UAT-2,无,无,,,
测试案例,正例,案例编号286,新建,银行卡签约-二类卡,,刘梦月,理财签约,理财外屏,签约查询,,,1.签约成功后进入STM机查询是否签约成功,2.签约成功,,UAT-2,无,无,,,
测试案例,正例,案例编号287,新建,二类卡柜面解约,,刘梦月,理财解约,理财外屏,签约成功后再进行解约，查看是否成功,,,1.打开理财解约交易，介质类型选择刷卡，放置身份证，输入客户姓名、点击提交,1.刷卡后自动回显客户姓名、客户号、证件号，理财解约成功,,UAT-2,无,无,,,
测试案例,正例,案例编号288,新建,风险评估,,刘梦月,理财风险评估,理财外屏,银行卡-确定用户风险等级,,,"1.放置身份证、插入IC卡，用户已登录，进入风险评估界面
2.点击开始风险评估
3.用户完成题库，确定用户风险等级","1.进入风险评估界面，弹框提示用户风险评估事项
2.弹出题库
3.显示风评结果",,UAT-2,无,无,,,
测试案例,反例,案例编号289,新建,风险评估,,刘梦月,理财风险评估,理财外屏,银行卡-确定用户风险等级,,,"1.放置身份证、插入IC卡，用户已登录，但未进行理财签约，进入风险评估界面
2.点击开始风险评估
",系统提示无法进行风险评估，先进行理财签约,,UAT-2,无,无,,,
测试案例,正例,案例编号290,新建,风险评估,,刘梦月,理财风险评估,理财外屏,存折-确定用户风险等级,,,"1.放置身份证、刷存折，用户已登录并签约，进入风险评估界面
2.点击开始风险评估
3.用户完成题库，确定用户风险等级","1.进入风险评估界面，弹框提示用户风险评估事项
2.弹出题库
3.显示风评结果",,UAT-2,无,无,,,
测试案例,反例,案例编号291,新建,风险评估,,刘梦月,理财风险评估,理财外屏,风险评估-存折-确定用户风险等级,,,"1.放置身份证，刷存折，用户已登录，但未进行理财签约，进入风险评估界面
2.点击开始风险评估
",系统提示无法进行风险评估，先进行理财签约,,UAT-2,无,无,,,
测试案例,反例,案例编号292,新建,风险评估,,刘梦月,理财风险评估,理财外屏,风险评估-银行卡-确定用户风险等级,,,"1.放置身份证，插入银行卡，用户已登录，但未进行理财签约，进入风险评估界面
2.点击开始风险评估
",系统提示无法进行风险评估，先进行理财签约,,UAT-2,无,无,,,
测试案例,正例,案例编号293,新建,风险评估,,刘梦月,理财风险评估,理财外屏,外屏进入风险评估界面-银行卡,,,"1.用户已经登陆
2.外屏进入风险评估界面，弹框提示用户风险评估事项
3.开始风险评估
4.确定用户风险等级在稳健型、平衡型、成长型、进取型",理财承受能力于风险等级匹配，评估成功,,UAT-2,无,无,,,
测试案例,反例,案例编号294,新建,风险评估,,刘梦月,理财风险评估,理财外屏,外屏进入风险评估界面,,,"1.用户已经登陆
2.外屏进入风险评估界面，弹框提示用户风险评估事项
3.开始风险评估
4.确定用户风险等级（保守型）
",理财承受能力于风险等级不匹配，无法购买,,UAT-2,无,无,,,
测试案例,反例,案例编号319,新建,自营理财,,刘梦月,本人购买理财（自己为自己办理业务）,理财外屏,理财经理登录，外屏刷卡刷本人身份证,,理财经理登录，刷卡身份证,"1、用户登录，理财经理登录账号密码
2、点击理财购买输入密码",显示失败，理财经理不能为自己办理业务,,UAT-2,柜员不能给自己办业务,无,,,
测试案例,正例,案例编号320,新建,自营理财,,刘梦月,理财购买,理财外屏,未签约、未风险评估购买理财产品,,,1.点击购买按钮,1.进入产品详情页,,UAT-2,无,无,,,
测试案例,正例,案例编号337,新建,自营理财,,刘梦月,理财查询,理财业务,理财（银行卡）购买-柜面查询,,,"1.进入中间业务-理财业务-查询类-客户持有份额
2.刷身份证、点击查询","1.自动回显客户信息，点击查询
2.购买成功",,UAT-2,无,无,,,
测试案例,正例,案例编号338,新建,自营理财,,刘梦月,理财查询,理财业务,理财（银行卡）购买-STM机具查询,,,"1.进入中间业务-理财业务-查询类-客户持有份额
2.刷身份证、点击查询","1.自动回显客户信息，点击查询
2.购买成功",,UAT-2,无,无,,,
