软件包名,版本,危害,后门类型,语言,IOC,MD5,财富E站通,智能网点,,,,,,,
airbnb-i18n,99.9.9,敏感信息泄露,敏感信息收集,nodejs,["https://api.telegram.org/bot1817723833:AAE53HNYANAlWGUXhtCXvdTeLxcRNqPT8e8"],dee3ed4e809bf5bae0458a66441d6c20,,,,,,,,,
airbnb-jitney-schemas,99.9.9,敏感信息泄露,敏感信息收集,nodejs,["https://api.telegram.org/bot1817723833:AAE53HNYANAlWGUXhtCXvdTeLxcRNqPT8e8"],862f6198c82d6d71daba830af3f9ff5f,,,,,,,,,
airbnb-logo-red,99.9.9,敏感信息泄露,敏感信息收集,nodejs,["https://api.telegram.org/bot1817723833:AAE53HNYANAlWGUXhtCXvdTeLxcRNqPT8e8"],7d89530848d7b63154feeca7252e857d,,,,,,,,,
airbnb-logo-white,99.9.9,敏感信息泄露,敏感信息收集,nodejs,["https://api.telegram.org/bot1817723833:AAE53HNYANAlWGUXhtCXvdTeLxcRNqPT8e8"],6ddd92e2e96d89fc32a77f2dbc54baed,,,,,,,,,
airbnb-org-sections,99.9.9,敏感信息泄露,敏感信息收集,nodejs,["https://api.telegram.org/bot1817723833:AAE53HNYANAlWGUXhtCXvdTeLxcRNqPT8e8"],115eec4b6749509e730e77a741aeba17,,,,,,,,,
airpay-js-sdk,3.1.2,敏感信息泄露,敏感信息收集,nodejs,["npm.yonghao.dastadmin.space"],09338573a288e0ef14b82be313cfce66,,,,,,,,,
airpay-js-sdk,4.1.2,敏感信息泄露,敏感信息收集,nodejs,["npm.yonghao.dastadmin.space"],4227a8b3f21746b9022f28f5d5643a09,,,,,,,,,
airpay-js-sdk,5.1.2,敏感信息泄露,敏感信息收集,nodejs,["3.dns.evening.pub"],a0891ecce13361cd827821df69bb9f3d,,,,,,,,,
airpay-js-sdk,5.1.3,敏感信息泄露,敏感信息收集,nodejs,["airpay-js-sdk.3.dns.evening.pub"],b8e0df5035a029420c09f25a920836bc,,,,,,,,,
akeyless-vault-api,2.0.4,低危信息泄露,投毒试验,nodejs,[""],e1d7d24f467eb7891ef7f492889119af,,,,,,,,,
akshansh-test,99.99.99,敏感信息泄露,敏感信息收集,nodejs,["hooks.slack.com/services"],d0efb17dc34a2ace788a832bfe3b6570,,,,,,,,,
alertmanager-discord,3.3.3,敏感信息泄露,敏感信息收集,nodejs,[],f1f2eb6612bae7ca4b237eaec0c69a80,,,,,,,,,
alicloud-base,9.1.3,敏感信息泄露,敏感信息收集,nodejs,["alicloud-base.3.dns.evening.pub"],f8563361850e42c1f223222ac3f4b972,,,,,,,,,
alicloud-common,9.1.3,敏感信息泄露,敏感信息收集,nodejs,["alicloud-common.3.dns.evening.pub"],d6ed1b79f8909ab0e97b84926b9c3c6f,,,,,,,,,
alicloud-core,9.1.3,敏感信息泄露,敏感信息收集,nodejs,["alicloud-core.3.dns.evening.pub"],ea804e7a0754498eb9ab5dd19f0e4037,,,,,,,,,
alicloud-js-sdk,9.1.3,敏感信息泄露,敏感信息收集,nodejs,["alicloud-js-sdk.3.dns.evening.pub"],df8646e5602b00cda8dcf4c9bcf94095,,,,,,,,,
alipay-js-jdk,9.1.3,敏感信息泄露,敏感信息收集,nodejs,["alipay-js-jdk.3.dns.evening.pub"],5bd722260e88ba936d92fa27f69ed2cc,,,,,,,,,
aliyun-js-sdk,9.1.3,敏感信息泄露,敏感信息收集,nodejs,["aliyun-js-sdk.3.dns.evening.pub"],357a6da2b0397bac651fee83d6d11d62,,,,,,,,,
allegro-tech-podcast,0.2.1,敏感信息泄露,敏感信息收集,nodejs,["eozlbvf4qmzqzsu.m.pipedream.net"],5afd416af3fddbd0d65966e77c05c9b3,,,,,,,,,
amex-eapply-dxp-component-button,999.1.2,敏感信息泄露,敏感信息收集,nodejs,["185.193.126.57"],bdc567fef8c87c339d3e080873452102,,,,,,,,,
amex-eapply-dxp-component-button,999.1.3,敏感信息泄露,敏感信息收集,nodejs,["185.193.126.57"],cda467b371a37ade067edf8ca1f33a36,,,,,,,,,
amex-eapply-dxp-component-button,999.1.4,敏感信息泄露,敏感信息收集,nodejs,["185.193.126.57"],cc45ed08d3c42fdb70a5a4e08dac6274,,,,,,,,,
amey-blah,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["ucaj5koofw4ejxalp4spr3ys0j69uy.burpcollaborator.net"],fb99d7ba28f3d75dd7b32e1344bc7b76,,,,,,,,,
amplify-category-api-dynamodb-simulator,2.4.1,主机失陷,命令执行,nodejs,["a.heliohost.us"],77da5daec73d0e3bcca3514445832dde,,,,,,,,,
amplify-category-api-dynamodb-simulator,100.0.2,主机失陷,命令执行,nodejs,["a.heliohost.us"],fbbab8696958516c9e7ca40a7dfa5a05,,,,,,,,,
amplify-category-api-e2e-core,100.0.2,主机失陷,命令执行,nodejs,["a.heliohost.us"],4a3f5fe25e9f432c7f27f17477efa9f8,,,,,,,,,
amplify-category-api-e2e-core,4.0.4,敏感信息泄露,敏感信息收集,nodejs,["64.71.153.11"],c9f68991d7769681b0b882fc1e0fb923,,,,,,,,,
am-screen-recording-permissions,1.0.2,敏感信息泄露,敏感信息收集,nodejs,["caxymja2vtc0000qsagggfq9kjeyyyyyb.interact.sh"],7223cb3bf8a37b0942427294fd0aba45,,,,,,,,,
angular-rs-loading,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["94.23.18.98"],577db03505e17f72d00d47dd2219e37b,,,,,,,,,
angular-rs-loading,1.0.1,敏感信息泄露,敏感信息收集,nodejs,["94.23.18.98"],919fec87e8933fc21d3349ba18bf84d8,,,,,,,,,
anonymous-credentials,99.99.0,敏感信息泄露,敏感信息收集,nodejs,["shrouded-ravine-99137.herokuapp.com"],c3528b6b43ac8cae6d6a4446961574be,,,,,,,,,
anonymous-credentials,99.99.2,敏感信息泄露,敏感信息收集,nodejs,["shrouded-ravine-99137.herokuapp.com"],2d1930d5b1e3f65cc5457fa71de2a82f,,,,,,,,,
anotherpackagefor101,1.3.37,敏感信息泄露,敏感信息收集,nodejs,["0006166aa72d9f58c6c28e76910a79cf.m.pipedream.net"],328231bfe595887e6beb6cc7a53184d5,,,,,,,,,
anyswap-rewards,10.10.10,敏感信息泄露,敏感信息收集,nodejs,["eopzupaiwwtxrdo.m.pipedream.net"],5234a0e80610b65d37d8a2f2fad730e0,,,,,,,,,
anytoken-locked,10.10.10,敏感信息泄露,敏感信息收集,nodejs,["eoagtshw0xygz35.m.pipedream.net"],7d2acd9c6d82c01465ceeb9db1e4d057,,,,,,,,,
api-key-regex,1.0.0,敏感信息泄露,敏感信息收集,nodejs,[],bbd8df6f6554185856a32c8c4d7c95d4,,,,,,,,,
appsmith-rts,0.0.1,敏感信息泄露,敏感信息收集,nodejs,["eoto5wif1yujsco.m.pipedream.net"],db00f60bcdcd6f7d1d45300d9eda9c7a,,,,,,,,,
app-with-frontegg,1.1.2,敏感信息泄露,敏感信息收集,nodejs,["vuln2.cafspwv2vtc0000d9ytggf87kyeyyyyyn.interact.sh"],146968942bc8dff92c2bfafdaaeef10d,,,,,,,,,
app-with-frontegg,1.1.1,敏感信息泄露,敏感信息收集,nodejs,["cafspwv2vtc0000d9ytggf8h5qwyyyyyb.interact.sh"],a598f0819685eb8857ccefaf4268dbdc,,,,,,,,,
ashion-ingest,8.1.7,敏感信息泄露,敏感信息收集,nodejs,["cam80l9a2ttvv6m4m78gm9x9i7nec3513.oast.live"],55b14c457e8e30c2496518d820790b3e,,,,,,,,,
ashion-ingest,8.1.9,敏感信息泄露,敏感信息收集,nodejs,["cam80l9a2ttvv6m4m78gm9x9i7nec3513.oast.live"],464a6034d5c9023f1013a80cc90bb8d6,,,,,,,,,
ashion-ingest,8.1.8,敏感信息泄露,敏感信息收集,nodejs,["cam80l9a2ttvv6m4m78gm9x9i7nec3513.oast.live"],068b073f8201f660c9e4f8c702cf768d,,,,,,,,,
ashion-ingest,8.2.1,敏感信息泄露,敏感信息收集,nodejs,["cam80l9a2ttvv6m4m78gm9x9i7nec3513.oast.live"],52b038ea2ac2feb2e1e4779f54c88232,,,,,,,,,
ashion-ingest,8.2.0,敏感信息泄露,敏感信息收集,nodejs,["cam80l9a2ttvv6m4m78gm9x9i7nec3513.oast.live"],d064ceded17aba08c1e1e4eeb7145e8f,,,,,,,,,
ashion-ingest,8.2.2,敏感信息泄露,敏感信息收集,nodejs,["cam80l9a2ttvv6m4m78gm9x9i7nec3513.oast.live"],953ceba00418334401ddc504f66b7e9f,,,,,,,,,
ashion-ingest,8.2.3,敏感信息泄露,敏感信息收集,nodejs,["cam80l9a2ttvv6m4m78gm9x9i7nec3513.oast.live"],05ae65f380b5d7177af884e36a07fa28,,,,,,,,,
ashion-ingest,8.2.4,敏感信息泄露,敏感信息收集,nodejs,["cam80l9a2ttvv6m4m78gm9x9i7nec3513.oast.live"],4c4c883946c37e92b9a3cfc78a3e850b,,,,,,,,,
asset-launch-qa-utils,7.1.0,敏感信息泄露,敏感信息收集,nodejs,["syzhack.com"],88870ba1105c08237f81cd57b0959d92,,,,,,,,,
assets-common,4.7.0,敏感信息泄露,敏感信息收集,nodejs,["http://eucn1wx7jvlw9oq0wahjpu4syj49sy.burpcollaborator.net"],d2360ed0d9b7e75249d79e2e1d6e46b2,,,,,,,,,
astar-portal-test-depconf,2.0.0,敏感信息泄露,敏感信息收集,nodejs,["eo8snq8dji9ejc7.m.pipedream.net"],b318af036914943d18f3f7e13fe65839,,,,,,,,,
atlas-query-editor,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["eombuf6f3gkwky4.m.pipedream.net"],d14f8003861e798aa1b0880f2b9b1ec9,,,,,,,,,
autoplay-whitelist,99.99.0,敏感信息泄露,敏感信息收集,nodejs,["shrouded-ravine-99137.herokuapp.com"],5d5c6d319eb17a6c0395cd04b305065d,,,,,,,,,
autoplay-whitelist,99.99.2,敏感信息泄露,敏感信息收集,nodejs,["shrouded-ravine-99137.herokuapp.com"],e6a9418a8fe5904fc9f08589b220f4e1,,,,,,,,,
babel-plugin-name,2.0.4,低危信息泄露,投毒试验,nodejs,[""],da8bdece3d8957f7fcc65db037abe22a,,,,,,,,,
bancolombia-design-system,9.9.9,敏感信息泄露,敏感信息收集,nodejs,["retr02332.net"],5ea5b5747ceb1375b3404edee4e00f83,,,,,,,,,
bancolombia-design-system,9.9.8,敏感信息泄露,敏感信息收集,nodejs,["retr02332.net"],7b61ead5f750a53faf95f050d9a3074c,,,,,,,,,
bancolombia-design-system,3.1.2,敏感信息泄露,敏感信息收集,nodejs,["retr02332.net"],8608518f2697a0e2d94c50f7744776af,,,,,,,,,
bancolombia-design-system,3.1.3,敏感信息泄露,敏感信息收集,nodejs,[""],6e33d0c66ab0395abf91e4a302084994,,,,,,,,,
bancolombia-design-system,3.1.4,敏感信息泄露,敏感信息收集,nodejs,[""],760a8d1ffe1771a24d65ca2d727a5cac,,,,,,,,,
bancolombia-design-system,3.1.5,敏感信息泄露,敏感信息收集,nodejs,[""],00f27e33ad4fef653cfbf2c6cd6e8256,,,,,,,,,
bazel-out,999.9.9,敏感信息泄露,敏感信息收集,nodejs,["bugbounty.click"],8167f96b3dee13cae5e02d6f23b4cf9e,,,,,,,,,
bebekair,0.0.1,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],7802ee82c2f1878e1ce608b517f1849a,,,,,,,,,
bebekair,0.1.1,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],89dc95737634978f8152d7630702605d,,,,,,,,,
bebekair,0.4.2,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],81ed12b70f7fef4c8cd0ae803628e6c8,,,,,,,,,
bebekair,0.5.0,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],5c4318df0becf56675d8631417c46b7e,,,,,,,,,
bebekair,0.1.2,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],5cff38d349476482ed23e0ed16957cf8,,,,,,,,,
bebekair,0.5.1,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],d01230c1d854353be0fa1c24bf2d21ae,,,,,,,,,
bebekair,0.2.2,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],e1003fba5705cad69aa82bdce9a0f2d8,,,,,,,,,
bebekair,0.3.2,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],7909fa902709b45c947a507c262eb210,,,,,,,,,
bebekair,0.3.0,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],06c2bfdfcfbc2606d6610412f4bbe6f9,,,,,,,,,
bebekair,0.5.2,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],3d3421824c6fd8e8dbfb4f83e102c1df,,,,,,,,,
bebekair,0.6.1,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],8237d716462630507f37f4f6d54773f0,,,,,,,,,
bebekair,0.6.0,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],1bff553a82e7e31c86c1980d8ca9371a,,,,,,,,,
bebekair,0.4.1,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],dba3b47a7423efee6fd40f8367248cb2,,,,,,,,,
bebekair,0.8.0,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],8489a6b9e15bfff7a1754fd9e17b65ed,,,,,,,,,
bebekair,0.8.2,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],72e8b9e3609bff4e1cef9285a863403b,,,,,,,,,
bebekair,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],2935a31e0dba09cb0945c088f4664309,,,,,,,,,
bebekair,1.1.0,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],ead7e901f52b7e4238c474be0fb85bd0,,,,,,,,,
bebekair,0.7.0,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],8b7d864e3a4732cfd7005111f6679c76,,,,,,,,,
bebekair,1.1.1,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],cbe3b64c2c9a70253b257b6ce2316c67,,,,,,,,,
bebekair,1.3.2,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],827f97ffc892bd0df3f7c4f3857e08ca,,,,,,,,,
bebekair,1.3.1,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],9f7001b275307d3dcc24c5057222214f,,,,,,,,,
bebekair,1.4.1,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],a0a479e4abb6c77fe9110b4fcbda25cb,,,,,,,,,
bebekair,1.4.0,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],f80e3c99fa2f830f4ca5fff9825c4575,,,,,,,,,
bebekair,1.5.0,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],09b09d0225f8a886df7a373b65a43b36,,,,,,,,,
bebekair,1.4.2,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],af5154f7d1e7a8e4b1488be13e251e50,,,,,,,,,
bebekair,1.5.2,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],1c4da023c20001c28c309cc3cb9a7a4c,,,,,,,,,
bebekair,1.6.2,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],028799324e3105449072b23d42998b64,,,,,,,,,
bebekair,1.7.0,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],cd82a05c56cd34b6cf7f126effb9a0d0,,,,,,,,,
bebekair,1.7.1,敏感信息泄露,敏感信息收集,nodejs,["gohack.xyz"],062f9195cea9ea49f47aa593220df6c4,,,,,,,,,
bitmovin-internal,0.0.2,敏感信息泄露,敏感信息收集,nodejs,["bfbbc33ec3cf29a6e3ba9d029249b343.m.pipedream.net"],a7a1379ded07f678e3ada0b825ec5601,,,,,,,,,
blz-internal-pkg,2.0.0,敏感信息泄露,敏感信息收集,nodejs,["c76vh7298mig6so43dmgc8g9t8oyyyyyn.interact.sh"],fc21d6e8b23e3c5475a90b7e58faaf19,,,,,,,,,
blz-internal-pkg,3.0.0,敏感信息泄露,敏感信息收集,nodejs,["c76vigi98mihogkkju7gc8g91oayyyyyn.interact.sh"],58ba30d72e1f1428f5486409ee1e7cfb,,,,,,,,,
blz-internal-pkg,6.6.6,敏感信息泄露,敏感信息收集,nodejs,["c77003i98mih8vdboff0c88yyreyyyyyn.interact.sh"],c5d498fc8347be3a2599bffacc34465a,,,,,,,,,
bootstrap-feature,10.0.1,敏感信息泄露,敏感信息收集,nodejs,["5.9.104.19"],b64e52015fed9d4faa43facb390f2855,,,,,,,,,
braintree-types,11.1.5,敏感信息泄露,敏感信息收集,nodejs,["mzptexsroocm1a81w52i5u4zoquii7.burpcollaborator.net"],a6dc5b73ebdf07dfee9b3846f8d55092,,,,,,,,,
braintree-types,11.1.7,敏感信息泄露,敏感信息收集,nodejs,["aq4inkch98mw2gn07242v06at1zrng.burpcollaborator.net"],34c1ef3b6fca1d430b796db8e8ca7c7c,,,,,,,,,
braintree-types,11.1.9,敏感信息泄露,敏感信息收集,nodejs,["6ur31esg4czl8rhrlo7qzi8v5.canarytokens.com"],5cac3b20a1ef13ce43070ce596c3a7bd,,,,,,,,,
bsd-global-nav-design-ui,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["eo18bey88qwygm6.m.pipedream.net"],c28a49c7cde0f6a63a57234a7436577c,,,,,,,,,
bv-commons,21.2.1,敏感信息泄露,敏感信息收集,nodejs,["4kxm0zmh4urq5knxq1hhtzbtl.canarytokens.com"],0f7391002f8b2340a7293a5765b1a725,,,,,,,,,
bv-commons,21.2.0,敏感信息泄露,敏感信息收集,nodejs,["4kxm0zmh4urq5knxq1hhtzbtl.canarytokens.com"],323a285d71eed31f1b6e92f74ccb4b47,,,,,,,,,
bv-commons,21.2.5,敏感信息泄露,敏感信息收集,nodejs,"[""h2ksearauwz2exx7prx5xqbsyj4cs1.burpcollaborator.net"", ""xrs83qgqjcoi3dmne7mlm608nztrhg.burpcollaborator.net""]",749efc97fbe862895236f51e1bf8ff6d,,,,,,,,,
bytedance-js-jdk,9.1.3,敏感信息泄露,敏感信息收集,nodejs,["bytedance-js-jdk.3.dns.evening.pub"],299741220aba383578b4f42c2788a10a,,,,,,,,,
calc_testing,3.0.0,主机失陷,命令执行,nodejs,["178.128.81.2"],829f916e106185d8a520094884fa9567,,,,,,,,,
calc_testing,1.0.0,主机失陷,命令执行,nodejs,["178.128.81.2"],fe8f52783c6f240847dc847355d1e54c,,,,,,,,,
calc_testing,2.0.0,主机失陷,命令执行,nodejs,["178.128.81.2"],894aae3449e944b3c762806f8ff74d1c,,,,,,,,,
capacitor-razorpay,2.0.4,敏感信息泄露,敏感信息收集,nodejs,[""],76d75e2dde9a3ecacef2c44cab013299,,,,,,,,,
careem-captain-earning-experience,1.0.1,敏感信息泄露,敏感信息收集,nodejs,["eo8s8hc2kbvwy2a.m.pipedream.net"],cbc992dc0bb51bbf427d51bd49624b34,,,,,,,,,
careem-captain-earning-experience,1.0.2,敏感信息泄露,敏感信息收集,nodejs,["eo8s8hc2kbvwy2a.m.pipedream.net"],1804b15b5293785fe994af7f72e428d6,,,,,,,,,
careem-captain-earning-experience,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["eo8s8hc2kbvwy2a.m.pipedream.net"],bec72c82c75449a845183435ab36e906,,,,,,,,,
cartesi-subgraph,9.9.9,敏感信息泄露,敏感信息收集,nodejs,["eoi2duja8gj8nvb.m.pipedream.net"],9226508dd9a1719df31a6027c1d13d37,,,,,,,,,
caspr-front,99.0.0,敏感信息泄露,敏感信息收集,nodejs,["caae7564jltjkuuot2pgfzikgcf9ywoqk.epicteam.fun"],ecf2255a5d9ce696f8d955bfef19348e,,,,,,,,,
cat-weather-widget,9.9.9,敏感信息泄露,敏感信息收集,nodejs,["ca.fi"],d28cbf8f1680602644bd7ee6013ef81a,,,,,,,,,
cat-weather-widget,9.9.91,敏感信息泄露,敏感信息收集,nodejs,["ca.fi"],ece0da152cd06ca7521f54c0441367b8,,,,,,,,,
cat-weather-widget,9.9.92,敏感信息泄露,敏感信息收集,nodejs,["ca.fi"],f7fd7293177bc97a8602022fc340830c,,,,,,,,,
cat-webcomponent-image,1.0.1,敏感信息泄露,敏感信息收集,nodejs,["ca.fi"],98fa90f2dd468cc141c66c6814fa9309,,,,,,,,,
cat-webcomponent-image,1.0.2,敏感信息泄露,敏感信息收集,nodejs,["ca.fi"],7e95801c261251ee2045506d9f142f4a,,,,,,,,,
cat-webcomponent-image,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["ca.fi"],b2b64b786a0ab7cb80e6aa8593dce040,,,,,,,,,
cd-system,99.0.2,敏感信息泄露,敏感信息收集,nodejs,["164.92.217.14"],22d929cf83ea9bdbb7d2471c955e743e,,,,,,,,,
certificate-based-auth,2.0.4,敏感信息泄露,敏感信息收集,nodejs,[""],dd57e42b7d875f124d25b46c5b9607ea,,,,,,,,,
chainalert_npm_package,7.1.1,敏感信息泄露,敏感信息收集,nodejs,["c9ep0g22vtc0000skrpggrzmyeyyyyyyb.interact.sh"],a84ac560098a8fd679c005e73627b54b,,,,,,,,,
chainalert_npm_package,7.2.0,敏感信息泄露,敏感信息收集,nodejs,["c9ep0g22vtc0000skrpggrzmyeyyyyyyb.interact.sh"],3135ffb84c8cc9a518863d53c21c88a0,,,,,,,,,
chainalert_npm_package,8.0.0,敏感信息泄露,敏感信息收集,nodejs,["c9ep0g22vtc0000skrpggrzmyeyyyyyyb.interact.sh"],589e0facc75d1c4c2092da87fcbe130c,,,,,,,,,
chat-orion-sdk,1.0.5,敏感信息泄露,敏感信息收集,nodejs,["cbbyn542vtc0000sdc7ggfi9k1wyyyyyb.interact.sh"],32dd693a844a42714927306f363b8015,,,,,,,,,
clarity-atoms,1.1.2,敏感信息泄露,敏感信息收集,nodejs,["k4patrwflxsxghdt6a9g2yoei5owcl.burpcollaborator.net"],9fcb3244f89fda65e821a9dc02f34932,,,,,,,,,
clarity-atoms,1.1.4,敏感信息泄露,敏感信息收集,nodejs,["c7gsyc92vtc00009d690gdac9geyyyyyb.interact.sh"],f7905285d93b22a7916ef7a9ad786cc5,,,,,,,,,
cloudwatchevents-processor,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["eoypgk2ha182jir.m.pipedream.net"],32fab1eb635921ad3e2a66b39331dd9d,,,,,,,,,
code-oss-dev-build,1.1.5,敏感信息泄露,敏感信息收集,nodejs,["c7fy2qa2vtc00006wnv0gdz9bmayyyyyb.interact.sh"],6ef1285a1706f9cb9839750bc03d7a02,,,,,,,,,
coil-metrics,2.0.0,敏感信息泄露,敏感信息收集,nodejs,["eorn6t7nifvk3e1.m.pipedream.net"],dc09d2654c9efc8caa743414ccb17aaf,,,,,,,,,
coldstone-helpers,2.4.1,敏感信息泄露,敏感信息收集,nodejs,["8irhidr38cvtufvzh7tfknp00r6iu7.burpcollaborator.net"],fa7c1aa6f1106743260301e544794eaf,,,,,,,,,
coldstone-sls,2.7.2,敏感信息泄露,敏感信息收集,nodejs,["ffyofkoa5js0rms6eeqmhum7xy3ord.burpcollaborator.net"],3fe0cca4fd4fc046e0f87657f3cf7c36,,,,,,,,,
com.alice.adonis,0.1.2,敏感信息泄露,敏感信息收集,nodejs,["vsr69idefs6dojrkbjszkt6vpmvej3.oastify.com"],6a6ef98ae0380dd10208f4e136bb4415,,,,,,,,,
com.unity.ai.navigation.components,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["161.35.54.109"],cd3e8c8436295c18230ae3ff6745f150,,,,,,,,,
com.unity.ai.navigation.components,1.0.1,敏感信息泄露,敏感信息收集,nodejs,["161.35.54.109"],3161ec7c666876ba22d08cbd61aaac2f,,,,,,,,,
com.unity.ai.navigation.components,1.0.2,敏感信息泄露,敏感信息收集,nodejs,["dhparadox.xyz"],0d58f90a30ff93b4ae39a15ebddca112,,,,,,,,,
com.unity.ai.navigation.components,1.0.3,敏感信息泄露,敏感信息收集,nodejs,["dhparadox.xyz"],55c17d379f2465be953d6ceb96c6fc89,,,,,,,,,
com.unity.ai.navigation.components,1.0.4,敏感信息泄露,敏感信息收集,nodejs,["dhparadox.xyz"],74884527d2107a987a80550da4583723,,,,,,,,,
com.unity.ai.navigation.components,1.0.6,敏感信息泄露,敏感信息收集,nodejs,["ns1.dhparadox.xyz"],0c825c90affba131b46825ee88a62f47,,,,,,,,,
com.unity.ai.navigation.components,1.0.6,敏感信息泄露,敏感信息收集,nodejs,["dhparadox.xyz"],0c825c90affba131b46825ee88a62f47,,,,,,,,,
com.unity.ai.navigation.components,1.0.7,敏感信息泄露,敏感信息收集,nodejs,["dhparadox.xyz"],c5274f0fcbfe0e72981849f3e426ad92,,,,,,,,,
com.unity.ai.navigation.components,1.0.8,敏感信息泄露,敏感信息收集,nodejs,["dhparadox.xyz"],fdd8136c3ed73259a170bd2dc280b1f3,,,,,,,,,
com.unity.ai.navigation.components,1.0.9,敏感信息泄露,敏感信息收集,nodejs,["poc.dhparadox.xyz"],13620da918aefbf75c86150549293eb3,,,,,,,,,
com.unity.ai.navigation.components,1.1.1-exp.2,敏感信息泄露,敏感信息收集,nodejs,["poc.dhparadox.xyz"],2fcd85a9e4823c74890aec7597bbc417,,,,,,,,,
com.unity.ai.navigation.components,1.1.2-exp.2,敏感信息泄露,敏感信息收集,nodejs,["poc.dhparadox.xyz"],7273f0b844fd169bc5a48995152e7c01,,,,,,,,,
compensation-calculator,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["eor5kic539hw4fq.m.pipedream.net"],76f69f5d7a64e06686dcc17969130c34,,,,,,,,,
competitive-equipment-icon,0.0.0,敏感信息泄露,敏感信息收集,nodejs,["competitive-equipment-icon.cad9vme2vtc00000yq50gfgw74ryyyyyb.interact.sh"],9cda32873f5e70e66351a2ae3ed6a800,,,,,,,,,
competitive-equipment-icon,0.0.1,敏感信息泄露,敏感信息收集,nodejs,["j5p3qjsgd2fcd55mewd2680hl8rcf1.oastify.com"],20bcb5cb83e416baa7d4d64470134c66,,,,,,,,,
competitive-equipment-icon,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["cei.L4J.m0ixjpwgvz0osycygkjx0u2bo.canarytokens.com"],2eee4dac62bb2a1565b68501466746ce,,,,,,,,,
com-test-pack,2.0.0,敏感信息泄露,敏感信息收集,nodejs,["n0o6ktd62z16q4akpheuk9100r6ju8.burpcollaborator.net"],0119b4bbb7a1ea54e6838753ea8867a6,,,,,,,,,
connect-datastore,16.0.0,敏感信息泄露,敏感信息收集,nodejs,["86cl2zbnioordcwj2hdjkmpvfmlc91.oastify.com"],5d4b7dfbed5f7d1042f9157590b3081c,,,,,,,,,
cqf.fhir.template,99.99.0,敏感信息泄露,敏感信息收集,nodejs,["shrouded-ravine-99137.herokuapp.com"],c97d47aee326bff71551bef207a3234d,,,,,,,,,
cqf.fhir.template,99.99.1,敏感信息泄露,敏感信息收集,nodejs,["shrouded-ravine-99137.herokuapp.com"],7d4b76b37b9edee131fcd4ecc68867f8,,,,,,,,,
cqf.fhir.template,99.99.2,敏感信息泄露,敏感信息收集,nodejs,["shrouded-ravine-99137.herokuapp.com"],8f89f2a958cd1b319f952e97cda0d07e,,,,,,,,,
crashtravel-utilities,1.0.2,敏感信息泄露,敏感信息收集,nodejs,["burp.sh"],f7e91c9c56935f4db4acf6a07effc119,,,,,,,,,
create-sprinklr-app,9.8.7,敏感信息泄露,敏感信息收集,nodejs,["65e4-156-205-162-99.eu.ngrok.io"],4bee5c7b605652c7336a7786716fb935,,,,,,,,,
cschandragirisample,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["reverse-shell.sh"],d6b923572894da039c8486852ca82a12,,,,,,,,,
cschandragirisample,1.0.1,敏感信息泄露,敏感信息收集,nodejs,["reverse-shell.sh"],5b5b0af7f3e5bd42240066b01cd3950c,,,,,,,,,
